status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154115731661006,244,1159,11145,139,108,15,1,7
7331091005_10154115589216006,384,793,10359,34,377,147,0,0
7331091005_10154115557716006,1561,30106,35742,1170,454,52,11,11
7331091005_10154115403101006,146,73,454,1,1,68,0,5
7331091005_10154115198766006,63,29,673,5,1,0,0,0
7331091005_10154115076221006,183,175,1319,12,33,42,1,12
7331091005_10154114259686006,1446,4597,14993,327,69,2361,13,120
7331091005_10154114182126006,16,17,688,26,1,1,5,1
7331091005_10154114057291006,999,1122,6145,20,418,213,2,1
7331091005_10154113998576006,302,295,5010,73,9,252,3,7
7331091005_10154113887381006,397,868,8696,114,27,165,2,3
7331091005_10154113765926006,114,234,4592,60,6,164,0,0
7331091005_10154113691426006,323,263,3597,65,7,140,1,4
7331091005_10154113643441006,312,648,15248,331,47,232,0,5
7331091005_10154113497606006,265,489,8225,174,32,134,0,8
7331091005_10154113465866006,365,802,7809,29,191,447,1,0
7331091005_10154113406326006,154,363,5689,60,6,507,1,6
7331091005_10154113356861006,445,857,8573,175,33,117,11,23
7331091005_10154113257611006,17,14,318,1,8,0,0,0
7331091005_10154113200731006,152,331,3093,16,10,58,1,3
7331091005_10154113022946006,252,570,3342,11,181,35,4,10
7331091005_10154112818321006,65,99,1179,14,22,3,2,0
7331091005_10154111732596006,160,242,3172,61,10,97,0,1
7331091005_10154111617546006,374,888,11246,27,115,421,7,17
7331091005_10154111504451006,74,135,657,1,45,41,11,16
7331091005_10154111415041006,1096,2994,9213,32,749,178,15,30
7331091005_10154111118016006,2456,5410,27153,312,786,396,202,259
7331091005_10154110957441006,833,8779,71842,1793,474,121,8,50
7331091005_10154110893566006,1742,2408,16980,130,456,175,122,141
7331091005_10154110711896006,1516,3406,10301,92,169,665,7,53
7331091005_10154110640371006,145,75,1380,12,1,140,0,1
7331091005_10154110614561006,1295,5749,9719,186,7,321,0,5
7331091005_10154110499876006,3019,28926,74279,1826,1732,180,15,181
7331091005_10154110394336006,654,945,9563,84,111,504,11,92
7331091005_10154110325201006,2123,4497,12675,78,29,1959,16,187
7331091005_10154110305721006,22,138,3857,144,12,0,0,0
7331091005_10154110203511006,225,1534,12965,408,101,22,2,23
7331091005_10154110063441006,9122,50069,56263,1046,295,5513,7,54
7331091005_10154109367706006,1462,960,11564,183,56,1182,58,73
7331091005_10154109338076006,234,1246,8808,202,140,40,1,14
7331091005_10154109311966006,3247,9690,22928,768,151,1175,16,126
7331091005_10154109272886006,1622,18763,27348,821,249,682,5,46
7331091005_10154109268391006,1174,11915,58958,1368,901,114,8,81
7331091005_10154109248586006,598,2085,6181,74,7,749,1,14
7331091005_10154109215886006,15153,86734,52678,2073,77,5111,16,273
7331091005_10154109197406006,4880,33299,77796,1151,187,8508,254,377
7331091005_10154109185646006,24923,167751,81786,2032,98,9947,30,173
7331091005_10154109098961006,227,435,11172,209,36,34,5,70
7331091005_10154108896321006,118,271,4777,92,3,328,0,0
7331091005_10154108758996006,1718,8323,21125,720,42,662,10,152
7331091005_10154108684741006,222,2203,4012,74,13,396,1,8
7331091005_10154108496151006,11282,44836,50494,785,100,7558,14,39
7331091005_10154108406091006,52,94,994,16,1,19,0,0
7331091005_10154108349496006,86,137,1433,17,24,59,0,1
7331091005_10154108292336006,71,228,1849,26,5,9,2,1
7331091005_10154108145386006,1164,2658,7850,58,76,1498,14,412
7331091005_10154108100101006,18,99,431,0,2,2,12,13
7331091005_10154108038621006,99,97,648,5,4,30,0,2
7331091005_10154107993711006,401,267,1746,10,49,222,4,4
7331091005_10154107906336006,31,31,302,0,7,2,30,0
7331091005_10154107862816006,920,1968,11528,73,23,978,0,3
7331091005_10154107817666006,384,411,4054,17,119,433,4,0
7331091005_10154107817666006,384,411,4054,17,119,433,4,0
7331091005_10154107147106006,90,76,732,5,1,75,0,0
7331091005_10154107112581006,29,42,561,23,1,0,6,2
7331091005_10154107006716006,142,677,7107,214,24,4,2,1
7331091005_10154106935256006,151,68,904,9,3,44,0,0
7331091005_10154106853241006,119,93,1554,31,4,57,1,3
7331091005_10154106701031006,375,420,4394,73,51,8,1,37
7331091005_10154106669101006,175,318,3013,18,12,89,0,2
7331091005_10154106604636006,2503,3518,15207,75,329,2444,263,148
7331091005_10154106517611006,622,1522,18869,189,92,569,24,60
7331091005_10154106467876006,32,5,118,1,1,0,0,0
7331091005_10154106287951006,279,291,7978,106,12,189,15,15
7331091005_10154106185006006,586,409,5098,103,11,334,1,38
7331091005_10154106108081006,278,164,2330,59,14,38,1,2
7331091005_10154106057451006,157,257,8228,92,13,127,2,2
7331091005_10154106034841006,17,12,342,1,7,7,0,1
7331091005_10154106008666006,321,2276,5520,105,11,33,1,0
7331091005_10154105865846006,1765,5252,16567,172,454,958,2139,188
7331091005_10154105816146006,603,689,4207,13,110,137,0,0
7331091005_10154105805221006,127,715,11079,557,54,2,24,1
7331091005_10154105667036006,96,204,2672,6,9,204,1,3
7331091005_10154105588426006,2955,7735,9795,118,21,1133,5,4
7331091005_10154104986251006,245,358,4970,44,84,147,1,0
7331091005_10154104925276006,1024,2011,15713,163,24,1928,7,14
7331091005_10154104841496006,257,385,1667,22,1,115,0,0
7331091005_10154104733756006,557,324,7108,111,26,257,0,10
